y	X1	X2	PC1	PC2	IND_ID
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
6	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
1	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
9	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
3	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
2	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
3	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
9	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
4	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
6	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
4	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
10	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
3	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
4	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
3	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
6	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
10	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
2	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
6	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
3	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
6	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
10	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
6	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
4	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
6	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
8	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
9	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
3	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
7	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
11	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
11	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
5	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
10	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
3	-0.310183338612062	0.5	-0.0694520566225524	0.901570953958733	a1
